AL, 09, 1969081806, 01, OFCL,  12, 331N,  900W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081806, 01, OFCL,  24, 350N,  900W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081806, 01, OFCL,  36, 362N,  893W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081806, 01, OFCL,  48, 370N,  880W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081812, 00, CARQ,   0, 322N,  900W,  65,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081812, 01, OFCL,  12, 348N,  902W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081812, 01, OFCL,  24, 374N,  905W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969082112, 00, CARQ,   0, 373N,  684W,  50,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969082112, 01, OFCL,  12, 386N,  627W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969082112, 01, OFCL,  24, 400N,  570W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
