AL, 03, 2004080800, 03, DSHP,  72, 135N,  629W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  84, 147N,  649W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP,  96, 160N,  668W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP, 108, 170N,  689W,  73,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSHP, 120, 179N,  709W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,   0,  87N,  447W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  12,  92N,  483W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  24,  98N,  518W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  36, 104N,  552W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  48, 113N,  582W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  60, 123N,  608W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  72, 135N,  629W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  84, 147N,  649W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS,  96, 160N,  668W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS, 108, 170N,  689W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, DSNS, 120, 179N,  709W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,   0,  87N,  447W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  12,  91N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  24,  98N,  530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  36, 106N,  574W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  48, 112N,  614W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  60, 120N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  72, 131N,  676W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  84, 145N,  697W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, LBAR,  96, 171N,  702W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  36,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  48,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  60,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  72,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  84,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5,  96,   0N,    0W,  62,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5, 108,   0N,    0W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHF5, 120,   0N,    0W,  77,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  12,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  24,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  48,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  60,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHFR,  72,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,   0,  87N,  447W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  12,  92N,  483W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  24,  98N,  518W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  36, 104N,  552W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  48, 113N,  582W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  60, 123N,  608W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  72, 135N,  629W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  84, 147N,  649W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP,  96, 160N,  668W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP, 108, 170N,  689W,  73,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHIP, 120, 179N,  709W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHNS,   0,  87N,  447W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHNS,  12,  92N,  483W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHNS,  24,  98N,  518W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2004080800, 03, SHNS,  36, 104N,  552W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
